ObjectID,GlobalID,Date_HU,Time_HU,SiteID_HU,Crew_HU,Habitat Unit Type,Habitat Unit Start Position,Habitat Unit End Position,Habitat Unit Length (m),Secondary Channel Present?,Velocity,Depth Max (nearest 0.01m),Width Wetted Avg (nearest 0.1m),Pool Forming Feature,Large Woody Debris,Dominant Substrate,Subdominant Substrate,Canopy Cover,Instream Cover,HU Comment (free text),ParentGlobalID,CreationDate,Creator,EditDate,Editor
7,e600a01c-5043-4f8e-b05d-3d09a1cc0488,4/30/2021 16:00,10:16,POB001,"EmmaT, Declan D",glide,0,15.5,15.5,none,slow,0.3,4.4,,2,siltClay,cobble,10,"largeSubstrate,aquaticVeg,largeWoodyDebris,terrestrialVeg,undercutBanks",,2d9b22fc-4631-49b5-98ce-4fa71a27918f,4/30/2021 17:20,,4/30/2021 17:20,
8,8cc48ca5-7594-492e-9590-841f841efe5c,4/30/2021 16:00,10:23,POB001,"EmmaT, Declan D",riffle,15.5,29,13.5,none,swift,0.2,6.4,,5,cobble,sand,10,"undercutBanks,largeWoodyDebris,aquaticVeg,terrestrialVeg",Some gravel,2d9b22fc-4631-49b5-98ce-4fa71a27918f,4/30/2021 17:20,,4/30/2021 17:20,
9,befaa1c4-cc84-4a86-a47f-2cea4f1a5bad,4/30/2021 16:00,10:33,POB001,"EmmaT, Declan D",glide,29,45.7,16.7,none,swift,0.2,9.4,,4,siltClay,gravel,0,"undercutBanks,aquaticVeg,largeWoodyDebris",Narrow gravel channel with flooded silt ,2d9b22fc-4631-49b5-98ce-4fa71a27918f,4/30/2021 17:20,,4/30/2021 17:20,
10,b8ef3c78-3536-4f76-a5cc-f1da5c3ccf49,4/30/2021 16:00,10:39,POB001,"EmmaT, Declan D",glide,48,75,27,none,slow,0.18,5.3,,5,siltClay,siltClay,20,"largeWoodyDebris,undercutBanks,aquaticVeg",,2d9b22fc-4631-49b5-98ce-4fa71a27918f,4/30/2021 17:20,,4/30/2021 17:20,
11,d9423c84-ed6b-42ed-ba79-06e637674993,4/30/2021 16:00,10:44,POB001,"EmmaT, Declan D",riffle,74,78.5,4.5,none,swift,0.17,5.1,,3,cobble,siltClay,20,"undercutBanks,terrestrialVeg,aquaticVeg,largeWoodyDebris",,2d9b22fc-4631-49b5-98ce-4fa71a27918f,4/30/2021 17:20,,4/30/2021 17:20,
12,86db87e6-0dc3-4cd3-a1ed-b517fa4df8e9,4/30/2021 16:00,10:49,POB001,"EmmaT, Declan D",glide,78,100,22,fast,slow,0.13,4.1,,6,sand,cobble,20,"largeWoodyDebris,terrestrialVeg,aquaticVeg,undercutBanks",,2d9b22fc-4631-49b5-98ce-4fa71a27918f,4/30/2021 17:20,,4/30/2021 17:20,
28,dd0d0d41-ef7f-4d0e-8b2e-9064aa7c3908,5/1/2021 16:00,11:00,MLB005,Ronda and Mike Yeomans,run,,25,,none,swift,0.37,3.5,,1,cobble,gravel,30,"aquaticVeg,terrestrialVeg",,a6e6211f-2aea-452c-b9ce-822055a5306f,5/1/2021 15:47,,5/1/2021 15:47,
29,3dc71f46-914e-466d-9735-eaccca3b3015,5/1/2021 16:00,11:04,MLB005,Ronda and Mike Yeomans,riffle,,65,,none,swift,0.28,3,,2,cobble,boulder,30,"largeSubstrate,terrestrialVeg,aquaticVeg",,a6e6211f-2aea-452c-b9ce-822055a5306f,5/1/2021 15:47,,5/1/2021 15:47,
30,4cbf91de-5e7b-469c-b449-cf1ba6379357,5/1/2021 16:00,11:09,MLB005,Ronda and Mike Yeomans,run,,71,,none,swift,0.35,3,,0,cobble,boulder,30,"largeSubstrate,aquaticVeg",,a6e6211f-2aea-452c-b9ce-822055a5306f,5/1/2021 15:47,,5/1/2021 15:47,
31,24cf248f-f3e6-45a0-932c-5ae45d708c3c,5/1/2021 16:00,11:11,MLB005,Ronda and Mike Yeomans,riffle,,86,,none,swift,0.18,4,,0,cobble,boulder,30,"largeSubstrate,aquaticVeg,terrestrialVeg",,a6e6211f-2aea-452c-b9ce-822055a5306f,5/1/2021 15:47,,5/1/2021 15:47,
